ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
1325,-1.640694119931922,10.558054823285856,8.917360703353934,himalayan,totesbasic,thicccbrowz,himalayan,granitegrey,orangesoda,topaz,totesbasic,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1325.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1325
453654,-1.637071855778152,8.643543664993594,7.006471809215442,sphynx,totesbasic,thicccbrowz,sphynx,granitegrey,aquamarine,sizzurp,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/453654.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/453654
1842,-1.6134087421879855,10.540516131405225,8.92710738921724,himalayan,luckystripe,thicccbrowz,himalayan,kittencream,salmon,topaz,luckystripe,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1842.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1842
14767,-1.6061141812515372,9.37742349467928,7.771309313427742,cymric,totesbasic,thicccbrowz,cymric,kittencream,aquamarine,strawberry,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/14767.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/14767
472189,-1.6041572735733531,8.506325880054343,6.9021686064809895,ragdoll,spangled,wonky,ragdoll,icy,bananacream,thundergrey,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/472189.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/472189
417563,-1.586706136841614,8.86598748302484,7.279281346183226,munchkin,amur,crazy,munchkin,kittencream,salmon,topaz,amur,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/417563.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/417563
11138,-1.5548991117623174,9.37523030455745,7.820331192795132,himalayan,totesbasic,crazy,himalayan,kittencream,mauveover,topaz,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/11138.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/11138
496295,-1.5539389985717325,8.030590639129132,6.4766516405573995,birman,spangled,slyboots,birman,purplehaze,bananacream,coralsunrise,spangled,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/496295.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/496295
488399,-1.5317940851702607,7.950575044086728,6.418780958916467,munchkin,spangled,thicccbrowz,munchkin,azaleablush,mauveover,sapphire,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/488399.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/488399
827276,-1.5188045676950974,7.817218723044664,6.298414155349566,selkirk,rorschach,wiley,selkirk,frosting,bananacream,thundergrey,rorschach,impish,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/827276.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/827276
